SYMBOL,EXPIRY_DT,CLOSE24OCT2022,CLOSE25OCT2022,CLOSE27OCT2022,CLOSE28OCT2022,SETTLE_PR24OCT2022,SETTLE_PR25OCT2022,SETTLE_PR27OCT2022,SETTLE_PR28OCT2022,CONTRACTS24OCT2022,CONTRACTS25OCT2022,CONTRACTS27OCT2022,CONTRACTS28OCT2022,VAL_INLAKH24OCT2022,VAL_INLAKH25OCT2022,VAL_INLAKH27OCT2022,VAL_INLAKH28OCT2022,OPEN_INT24OCT2022,OPEN_INT25OCT2022,OPEN_INT27OCT2022,OPEN_INT28OCT2022,CHG_IN_OI24OCT2022,CHG_IN_OI25OCT2022,CHG_IN_OI27OCT2022,CHG_IN_OI28OCT2022
BANKNIFTY,27-Oct-2022,41270.0,41111.15,41283.3,,41270.0,41111.15,41299.3,,40256,113819,124224,,415042.51,1172917.91,1283416.4,,1297250,1016825,573500,,-109675,-280425,-443325,
NIFTY,27-Oct-2022,17732.55,17654.95,17721.7,,17732.55,17654.95,17736.95,,80759,157461,186816,,716812.02,1393939.25,1655693.19,,10138500,7402750,3711050,,-423400,-2735750,-3691700,
ACC,27-Oct-2022,2255.15,2251.05,2313.0,,2255.15,2251.05,2313.0,,390,6034,6022,,2201.44,34182.41,34224.21,,2382500,1369500,418500,,-15750,-1013000,-951000,
ADANIENT,27-Oct-2022,3307.6,3301.5,3322.05,,3307.6,3301.5,3325.0,,1106,10325,9839,,18354.04,171052.94,163000.79,,6308000,2947000,335500,,-75500,-3361000,-2611500,
ADANIPORTS,27-Oct-2022,801.3,801.15,822.45,,801.3,801.15,821.25,,1040,13235,13299,,10449.28,133122.65,134318.26,,21832500,9881250,1317500,,-173750,-11951250,-8563750,
AMBUJACEM,27-Oct-2022,517.15,514.25,528.0,,517.15,514.25,527.6,,2406,17527,13501,,22425.21,163008.1,126611.02,,39457800,15750000,1539000,,-82800,-23707800,-14211000,
APOLLOHOSP,27-Oct-2022,4417.95,4408.55,4437.8,,4417.95,4408.55,4431.85,,626,4163,2944,,3464.87,22878.38,16368.41,,537250,229125,62750,,-29750,-308125,-166375,
ASIANPAINT,27-Oct-2022,3116.8,3093.5,3048.6,,3116.8,3093.5,3043.45,,1556,9982,7533,,9725.58,62135.78,46141.0,,2404200,1055600,202000,,-112400,-1348600,-853600,
AXISBANK,27-Oct-2022,907.0,899.85,913.5,,907.0,899.85,915.15,,4515,19067,12041,,49160.35,205549.01,131543.34,,27768000,16356000,8848800,,-388800,-11412000,-7507200,
BAJAJ-AUTO,27-Oct-2022,3704.2,3665.85,3622.15,,3704.2,3665.85,3622.4,,422,3934,2351,,3914.3,36249.47,21345.41,,673250,341250,185000,,-23500,-332000,-156250,
BAJAJFINSV,27-Oct-2022,1703.4,1663.0,1629.35,,1703.4,1663.0,1630.95,,1375,5086,3608,,11765.18,42594.66,29591.33,,2175000,928000,264500,,-146000,-1247000,-663500,
BAJFINANCE,27-Oct-2022,7192.65,7102.45,6970.35,,7192.65,7102.45,6971.0,,4006,14825,16906,,36132.83,132227.94,148251.78,,2215375,1164000,273125,,-128875,-1051375,-890875,
BANDHANBNK,27-Oct-2022,267.5,267.8,270.3,,267.5,267.8,270.7,,639,8326,4720,,3091.69,39736.36,23079.99,,15922800,6192000,1683000,,-210600,-9730800,-4509000,
BANKBARODA,27-Oct-2022,144.2,147.8,149.9,,144.2,147.8,149.7,,906,11425,6643,,7649.07,98680.62,57710.35,,55329300,25903800,3878550,,503100,-29425500,-22025250,
BEL,27-Oct-2022,104.2,105.3,108.1,,104.2,105.3,107.85,,373,3417,4183,,4430.92,40885.43,50949.25,,48985800,26197200,2610600,,-638400,-22788600,-23586600,
BERGEPAINT,27-Oct-2022,588.6,583.35,574.0,,588.6,583.35,573.95,,308,2773,2466,,1997.15,17874.05,15698.51,,4144800,2087800,432300,,-62700,-2057000,-1655500,
BHARTIARTL,27-Oct-2022,800.6,798.6,813.65,,800.6,798.6,817.1,,2409,20565,17301,,18361.08,155926.72,133200.72,,24198400,10671350,8467350,,372400,-13527050,-2204000,
BIOCON,27-Oct-2022,268.35,272.15,276.5,,268.35,272.15,276.25,,311,4318,4261,,1923.48,26983.97,26942.86,,12997300,7102400,1239700,,29900,-5894900,-5862700,
BOSCHLTD,27-Oct-2022,15607.05,15640.85,15717.9,,15607.05,15640.85,15743.4,,107,2098,1704,,834.88,16418.1,13361.54,,122400,54850,3150,,-2750,-67550,-51700,
BPCL,27-Oct-2022,301.35,303.7,305.65,,301.35,303.7,305.6,,371,4554,4799,,2014.8,24830.08,26352.23,,11341800,8091000,2939400,,-176400,-3250800,-5151600,
BRITANNIA,27-Oct-2022,3808.5,3716.15,3754.65,,3808.5,3716.15,3755.3,,421,2023,2421,,3216.98,15113.1,18067.92,,540200,323800,98400,,-17800,-216400,-225400,
CHOLAFIN,27-Oct-2022,711.65,714.9,717.3,,711.65,714.9,717.75,,139,2214,1634,,1240.25,19789.81,14546.01,,3040000,1263750,188750,,15000,-1776250,-1075000,
CIPLA,27-Oct-2022,1147.9,1150.1,1163.1,,1147.9,1150.1,1165.9,,801,8398,3595,,5979.81,62819.66,27141.4,,4169100,1300000,451100,,-69550,-2869100,-848900,
COALINDIA,27-Oct-2022,239.9,240.55,240.45,,239.9,240.55,240.9,,383,4056,3589,,3867.34,40965.07,36213.66,,16195200,9744000,5800200,,-189000,-6451200,-3943800,
