SYMBOL,EXPIRY_DT,CLOSE20OCT2022,SETTLE_PR20OCT2022,CONTRACTS20OCT2022,VAL_INLAKH20OCT2022,OPEN_INT20OCT2022,CHG_IN_OI20OCT2022
BANKNIFTY,27-Oct-2022,40205.35,40205.35,160299,1605768.35,1519525,-68225
NIFTY,27-Oct-2022,17540.7,17540.7,189528,1655734.25,11338400,351250
ACC,27-Oct-2022,2286.1,2286.1,6140,34795.23,3218750,-478250
ADANIENT,27-Oct-2022,3358.1,3358.1,14473,240114.19,8942500,-3338500
ADANIPORTS,27-Oct-2022,819.7,819.7,8830,89468.41,29191250,-3873750
AMBUJACEM,27-Oct-2022,517.45,517.45,9090,84148.53,49885200,-6282000
APOLLOHOSP,27-Oct-2022,4325.9,4325.9,4190,22722.58,1051000,-238250
ASIANPAINT,27-Oct-2022,3142.95,3142.95,27900,177078.4,3885800,-1314600
AXISBANK,27-Oct-2022,827.9,827.9,19390,192000.84,33394800,-4638000
BAJAJ-AUTO,27-Oct-2022,3679.45,3679.45,4204,38254.84,1154250,-372750
BAJAJFINSV,27-Oct-2022,1726.85,1726.85,6416,54720.46,3940000,-1418000
BAJFINANCE,27-Oct-2022,7435.25,7435.25,16114,148455.17,3271500,-335375
BANDHANBNK,27-Oct-2022,270.95,270.95,4114,19956.47,21418200,-2512800
BANKBARODA,27-Oct-2022,141.0,141.0,12789,104048.17,77266800,-17936100
BEL,27-Oct-2022,108.2,108.2,4319,53206.19,65504400,-10191600
BERGEPAINT,27-Oct-2022,618.5,618.5,3061,20769.13,5420800,-1422300
BHARTIARTL,27-Oct-2022,788.8,788.8,20190,150487.8,30053250,-7617100
BIOCON,27-Oct-2022,270.5,270.5,4091,25376.15,16976300,-5651100
BOSCHLTD,27-Oct-2022,15765.8,15765.8,1141,8952.0,147800,-32700
BPCL,27-Oct-2022,298.3,298.3,4799,25390.73,14837400,-2698200
BRITANNIA,27-Oct-2022,3802.05,3802.05,2606,19743.72,937000,-291400
CHOLAFIN,27-Oct-2022,729.3,729.3,2125,19358.68,5272500,-1078750
CIPLA,27-Oct-2022,1131.7,1131.7,4856,35703.49,6853600,-644150
COALINDIA,27-Oct-2022,239.85,239.85,4666,46499.91,22138200,-3511200
COLPAL,27-Oct-2022,1605.0,1605.0,5775,32105.54,1534750,-676550
DABUR,27-Oct-2022,535.75,535.75,3924,26092.49,9308750,-3020000
DIVISLAB,27-Oct-2022,3648.75,3648.75,5284,28750.84,1649550,-504450
DLF,27-Oct-2022,373.55,373.55,5839,35703.34,37293300,-4093650
DRREDDY,27-Oct-2022,4331.8,4331.8,4906,26408.67,850000,-309125
EICHERMOT,27-Oct-2022,3628.85,3628.85,3313,41824.06,2382800,-550200
GAIL,27-Oct-2022,87.65,87.65,3699,29254.23,41056050,-16662150
GODREJCP,27-Oct-2022,829.75,829.75,2123,17537.16,4488000,-1232000
GRASIM,27-Oct-2022,1689.45,1689.45,2947,23558.87,3730650,-802750
HAL,27-Oct-2022,2455.35,2455.35,3972,46483.41,3313600,-482125
HAVELLS,27-Oct-2022,1211.15,1211.15,13782,83531.72,3138000,-785500
HCLTECH,27-Oct-2022,1016.7,1016.7,11153,78767.72,12460700,-3444000
HDFC,27-Oct-2022,2369.7,2369.7,16762,118770.14,11603100,-2944500
HDFCAMC,27-Oct-2022,2025.3,2025.3,5386,32170.94,1419600,-603300
