Symbol,is_valid,Series,ClosePrice28112022,ClosePrice29112022,ClosePrice30112022,ClosePrice02122022,TotalTradedQuantity28112022,TotalTradedQuantity29112022,TotalTradedQuantity30112022,TotalTradedQuantity02122022,TurnoverInLacs28112022,TurnoverInLacs29112022,TurnoverInLacs30112022,TurnoverInLacs02122022,DeliveryQuantity28112022,DeliveryQuantity29112022,DeliveryQuantity30112022,DeliveryQuantity02122022,DeliveryPercentage28112022,DeliveryPercentage29112022,DeliveryPercentage30112022,DeliveryPercentage02122022
ADANIPORTS,1, EQ,878.6,878.2,881.0,888.2,4168244,3663099,3797377,6279538,36678.51,32328.94,33409.08,56140.18,1399143,699702,1455927,1807411,33.57,19.1,38.34,28.78
APOLLOHOSP,1, EQ,4721.85,4719.2,4726.4,4871.45,598162,910558,1113421,996306,28222.61,43448.69,52280.12,48151.89,178426,283428,559346,398307,29.83,31.13,50.24,39.98
ASIANPAINT,1, EQ,3151.2,3135.05,3175.15,3143.45,914689,877720,2547283,932259,28725.28,27591.59,80733.64,29300.01,419939,488650,1636650,580923,45.91,55.67,64.25,62.31
AXISBANK,1, EQ,891.7,892.55,901.25,905.15,7928147,5661158,10452798,7988851,70844.9,50750.2,93719.82,71769.63,5343792,3795568,7171487,5409106,67.4,67.05,68.61,67.71
BAJAJ-AUTO,1, EQ,3676.7,3660.1,3750.7,3659.35,185431,134922,1267676,349992,6828.06,4955.29,47419.29,12803.64,54530,63470,625441,151938,29.41,47.04,49.34,43.41
BAJAJFINSV,1, EQ,1652.85,1632.0,1626.5,1642.65,2005182,1346735,2900845,1682841,33124.48,22057.19,47242.56,27604.05,1177266,693387,2162525,851383,58.71,51.49,74.55,50.59
BAJFINANCE,1, EQ,6777.45,6734.15,6720.95,6675.75,604054,681860,1482831,1438602,41017.91,46092.77,99609.54,96057.49,224387,372862,926775,896441,37.15,54.68,62.5,62.31
BHARTIARTL,1, EQ,837.4,835.85,848.75,848.65,3668846,2680296,6874390,3505272,30858.19,22487.88,58092.35,29610.58,2447934,1656315,4835679,2256580,66.72,61.8,70.34,64.38
BPCL,1, EQ,340.75,339.05,341.15,341.1,13209249,5027834,5014866,2797809,44465.02,17025.54,17076.01,9526.27,4991817,1941104,2255334,1132608,37.79,38.61,44.97,40.48
BRITANNIA,1, EQ,4213.05,4285.35,4362.3,4432.9,222792,598884,1101544,530333,9341.19,25577.12,47831.41,23393.37,137316,261742,780632,381275,61.63,43.7,70.87,71.89
CIPLA,1, EQ,1101.75,1121.15,1139.65,1114.35,673339,1899345,2680903,2586376,7411.39,21240.87,30408.91,28687.9,297894,840092,1754165,1385755,44.24,44.23,65.43,53.58
COALINDIA,1, EQ,229.85,227.2,227.25,226.6,8146840,6628470,12154948,6325649,18729.68,15125.34,27644.72,14330.34,4578271,3443083,8432379,3294569,56.2,51.94,69.37,52.08
DIVISLAB,1, EQ,3375.55,3372.7,3404.7,3381.25,498592,233990,1028382,475542,16799.62,7910.17,34935.15,15970.08,286246,138473,748072,158537,57.41,59.18,72.74,33.34
DRREDDY,1, EQ,4402.0,4453.35,4487.15,4510.4,306168,409138,851368,416008,13492.97,18210.98,38215.41,18683.98,185083,234215,543006,290818,60.45,57.25,63.78,69.91
EICHERMOT,1, EQ,3441.4,3416.1,3484.5,3331.85,435882,456872,1151772,1453049,14959.77,15714.5,39946.25,48632.63,171515,243883,665443,618298,39.35,53.38,57.78,42.55
GRASIM,1, EQ,1716.95,1719.15,1759.75,1819.65,408790,492703,1133250,1352278,7052.2,8485.24,19820.7,24469.02,154127,280267,631923,505079,37.7,56.88,55.76,37.35
HCLTECH,1, EQ,1118.8,1128.95,1120.8,1135.55,2368293,1785948,6053488,2944923,26639.84,20194.84,67859.25,33314.02,1600950,1112082,4316034,2215207,67.6,62.27,71.3,75.22
HDFC,1, EQ,2658.7,2665.25,2692.55,2665.3,2152483,2624497,5491305,2710648,57107.05,70001.37,147507.41,72392.2,1462683,1984372,4018928,1899494,67.95,75.61,73.19,70.08
HDFCBANK,1, EQ,1600.25,1597.85,1608.45,1607.1,8052990,6319118,7592403,3905539,128893.97,101242.73,121762.99,62877.98,5841703,4609779,6030327,2675200,72.54,72.95,79.43,68.5
HDFCLIFE,1, EQ,586.0,584.85,590.6,589.85,5799007,3215187,3502958,2788220,34106.65,18806.55,20671.26,16480.45,3942905,2336261,2427636,1731878,67.99,72.66,69.3,62.11
HEROMOTOCO,1, EQ,2783.5,2828.25,2851.9,2820.45,1223958,731879,1379225,526214,33958.54,20625.66,39277.53,14922.68,478249,348060,817062,279850,39.07,47.56,59.24,53.18
HINDALCO,1, EQ,431.15,435.95,450.7,461.1,5613201,6518828,13921394,6621056,24213.63,28543.2,62386.21,30771.12,1758114,1570644,5295138,2125210,31.32,24.09,38.04,32.1
HINDUNILVR,1, EQ,2525.2,2634.2,2684.35,2615.1,830905,2542932,3698270,2101890,21000.52,66297.0,98592.58,55101.51,598327,1220939,2545579,1500157,72.01,48.01,68.83,71.37
ICICIBANK,1, EQ,937.4,946.75,952.9,930.6,9381474,13096845,20858573,14228874,87928.95,124046.82,198078.0,132293.71,6880685,9804723,15610880,10640084,73.34,74.86,74.84,74.78
INDUSINDBK,1, EQ,1197.85,1180.6,1167.8,1178.7,2846018,1875146,2421938,2299901,33976.53,22244.6,28379.52,27049.28,1522431,938207,1446090,1303401,53.49,50.03,59.71,56.67
INFY,1, EQ,1623.4,1629.05,1634.95,1637.9,3825766,3131710,11868134,4283343,62649.02,50967.18,193529.38,70361.88,2086038,1733630,7845626,2883697,54.53,55.36,66.11,67.32
ITC,1, EQ,340.05,342.3,340.0,337.15,9902739,10189855,22556502,8388835,33712.23,34944.97,76814.8,28341.83,7507263,5441795,18090068,5530292,75.81,53.4,80.2,65.92
JSWSTEEL,1, EQ,715.65,732.55,743.4,743.05,2418509,3306817,3962572,1392199,17296.36,24057.5,29382.39,10360.35,715185,774267,1687223,562599,29.57,23.41,42.58,40.41
KOTAKBANK,1, EQ,1928.15,1925.55,1947.05,1930.8,1564504,1363505,2950734,1590968,30248.74,26320.83,57144.85,30646.37,1018873,897629,2109334,1053950,65.12,65.83,71.49,66.25
LT,1, EQ,2064.45,2050.55,2074.85,2085.5,1105372,1413764,2104550,1957264,22805.56,28999.11,43514.76,40757.76,652257,811351,1468291,1358489,59.01,57.39,69.77,69.41
MARUTI,1, EQ,8985.4,8910.2,8974.15,8815.85,439956,606692,1087650,971612,39738.6,54294.87,97187.17,85753.49,249082,329068,728552,446718,56.62,54.24,66.98,45.98
NTPC,1, EQ,170.4,170.15,172.2,172.15,5471921,7693168,9133076,6376672,9324.89,13097.21,15673.25,10972.71,2896807,4480311,6210482,4227163,52.94,58.24,68.0,66.29
ONGC,1, EQ,139.6,140.25,141.1,140.9,8925344,13558920,17720938,24518337,12500.58,18997.77,24942.77,34871.62,4339553,8971218,11472691,8090338,48.62,66.16,64.74,33.0
POWERGRID,1, EQ,221.3,219.35,224.0,219.8,3394615,4857041,12988464,9660712,7503.09,10668.09,28917.78,21245.87,1771865,2893122,9515162,6395243,52.2,59.57,73.26,66.2
