Symbol,is_valid,Series,ClosePrice17102022,ClosePrice18102022,ClosePrice19102022,TotalTradedQuantity17102022,TotalTradedQuantity18102022,TotalTradedQuantity19102022,TurnoverInLacs17102022,TurnoverInLacs18102022,TurnoverInLacs19102022,DeliveryQuantity17102022,DeliveryQuantity18102022,DeliveryQuantity19102022,DeliveryPercentage17102022,DeliveryPercentage18102022,DeliveryPercentage19102022
ADANIPORTS,1, EQ,786.2,809.95,805.05,4602870,7372253,5222275,36045.69,59498.07,42427.54,916653,1764161,699347,19.91,23.93,13.39
APOLLOHOSP,1, EQ,4290.85,4366.0,4388.75,254734,387469,249672,10867.47,16749.39,10928.82,85317,150564,93988,33.49,38.86,37.64
ASIANPAINT,1, EQ,3197.6,3225.85,3212.75,1067773,1015424,943543,34157.94,32790.22,30351.86,621947,614133,453897,58.25,60.48,48.11
AXISBANK,1, EQ,814.15,816.35,829.85,9463827,8470882,10868663,76419.59,69200.25,90218.22,4768157,4355663,4373527,50.38,51.42,40.24
BAJAJ-AUTO,1, EQ,3629.0,3611.3,3655.85,921084,496519,456361,33503.34,17991.3,16760.66,218337,318715,122497,23.7,64.19,26.84
BAJAJFINSV,1, EQ,1719.25,1726.25,1698.8,1551410,1661431,1804532,26459.02,28657.31,30889.71,581884,680073,826905,37.51,40.93,45.82
BAJFINANCE,1, EQ,7355.2,7390.4,7380.4,617401,906975,627177,45180.94,66926.62,46319.96,207964,377916,241006,33.68,41.67,38.43
BHARTIARTL,1, EQ,766.0,783.15,783.4,4566333,4391263,5219180,34927.34,34352.12,40873.64,3239457,2576003,3552234,70.94,58.66,68.06
BPCL,1, EQ,296.55,295.75,292.15,2672321,3287463,3014752,7896.87,9716.0,8883.48,1102447,1771479,1682912,41.25,53.89,55.82
BRITANNIA,1, EQ,3777.7,3766.85,3768.5,93315,189866,182278,3523.14,7172.49,6855.04,38823,90322,129052,41.6,47.57,70.8
CIPLA,1, EQ,1108.15,1125.85,1122.0,1076392,960283,1300144,11912.42,10744.67,14696.53,505792,508320,522890,46.99,52.93,40.22
COALINDIA,1, EQ,238.0,241.7,238.2,5623812,6674374,13886387,13314.43,16012.65,33352.3,2221957,2881339,9384476,39.51,43.17,67.58
DIVISLAB,1, EQ,3578.55,3572.25,3608.05,211512,300258,230936,7577.02,10731.36,8285.05,107743,167905,121384,50.94,55.92,52.56
DRREDDY,1, EQ,4335.2,4356.55,4316.9,210140,144236,172168,9123.74,6278.22,7464.22,80932,65225,74701,38.51,45.22,43.39
EICHERMOT,1, EQ,3514.7,3612.5,3612.3,492114,522357,645494,17251.79,18720.79,23515.59,168480,200940,197979,34.24,38.47,30.67
GRASIM,1, EQ,1691.15,1688.25,1684.35,708434,469877,1078290,12003.3,7946.51,18222.23,398832,283256,567579,56.3,60.28,52.64
HCLTECH,1, EQ,994.6,1009.2,995.65,2136170,2487826,2517099,21312.15,25077.79,25148.37,1006161,1498413,1681843,47.1,60.23,66.82
HDFC,1, EQ,2349.25,2331.65,2381.8,3513903,5434016,4465058,82473.24,127091.76,106826.87,2359608,4030631,2285322,67.15,74.17,51.18
HDFCBANK,1, EQ,1446.55,1443.85,1458.65,9205250,5280554,6483520,132867.64,76561.45,94980.88,4371481,3226764,3543870,47.49,61.11,54.66
HDFCLIFE,1, EQ,523.75,531.25,531.55,1486039,2757284,2135162,7780.22,14551.6,11368.61,716902,1584318,1313936,48.24,57.46,61.54
HEROMOTOCO,1, EQ,2553.7,2562.0,2541.2,257635,454003,375698,6579.88,11639.42,9579.42,86815,199642,183435,33.7,43.97,48.83
HINDALCO,1, EQ,388.3,393.45,390.3,8966396,7081590,6208852,35038.4,27977.25,24463.54,3855497,2629314,2692105,43.0,37.13,43.36
HINDUNILVR,1, EQ,2590.55,2602.25,2583.0,778918,1123374,1241979,20206.44,29395.39,32202.53,443580,670323,825976,56.95,59.67,66.5
ICICIBANK,1, EQ,885.2,896.9,892.1,8936947,8097552,5529462,78750.66,72519.49,49335.23,4347350,4261945,2747453,48.64,52.63,49.69
INDUSINDBK,1, EQ,1199.65,1223.25,1218.4,3419791,3451130,3896969,40668.09,42029.57,47579.51,1590230,1758621,1448719,46.5,50.96,37.18
INFY,1, EQ,1489.95,1503.7,1485.45,4286396,4692004,3553171,63801.88,70565.27,52907.53,2150807,2634690,1890043,50.18,56.15,53.19
ITC,1, EQ,332.25,340.3,346.35,6929063,20887417,16296080,23067.65,70794.64,56202.13,3745304,15003669,6886786,54.05,71.83,42.26
JSWSTEEL,1, EQ,631.45,636.75,625.9,2281559,1809430,2157157,14374.87,11499.79,13595.82,415915,572368,407249,18.23,31.63,18.88
KOTAKBANK,1, EQ,1858.15,1859.7,1869.35,1104283,1609858,913286,20415.07,30031.01,17038.19,549454,836795,343668,49.76,51.98,37.63
LT,1, EQ,1883.2,1918.1,1904.9,2588147,1401849,1636141,48874.53,26894.34,31365.47,1764952,688505,816090,68.19,49.11,49.88
MARUTI,1, EQ,8723.8,8807.35,8719.35,304671,369973,385416,26422.0,32646.03,33815.92,128906,169480,209668,42.31,45.81,54.4
NTPC,1, EQ,168.45,166.95,164.05,13426449,20635735,6947654,22421.13,34541.2,11507.17,9366992,15783045,4014747,69.77,76.48,57.79
ONGC,1, EQ,127.8,128.7,127.8,9320940,6490293,7381712,11857.38,8329.13,9448.55,3317662,3191658,3368487,35.59,49.18,45.63
POWERGRID,1, EQ,211.85,212.35,213.9,7140403,9942431,8696526,15175.36,21169.85,18675.98,4247814,6654928,5335734,59.49,66.93,61.35
RELIANCE,1, EQ,2408.75,2451.25,2493.9,7720595,5729899,8882553,183449.15,140402.01,222020.64,2473925,3210585,3768892,32.04,56.03,42.43
SBILIFE,1, EQ,1189.8,1219.05,1227.1,1615547,1367703,947326,19179.66,16527.79,11633.1,1159621,795219,612708,71.78,58.14,64.68
SBIN,1, EQ,543.65,562.45,553.4,13485349,20440781,9540583,72645.16,114097.91,52988.45,3700920,9747060,3398721,27.44,47.68,35.62
SHREECEM,1, EQ,20831.1,20967.9,21324.0,179228,74047,62446,36859.88,15522.9,13301.93,54271,18109,7416,30.28,24.46,11.88
SUNPHARMA,1, EQ,980.0,978.35,976.9,2647369,2065146,2424533,25937.33,20193.13,23602.18,1599630,1279595,1366351,60.42,61.96,56.36
TATACONSUM,1, EQ,763.15,774.35,764.55,940646,1361691,1115277,7203.72,10501.46,8563.08,433550,712640,568450,46.09,52.33,50.97
TATAMOTORS,1, EQ,396.1,404.25,399.05,9543556,14215544,8648435,37771.15,57406.13,34800.83,2234989,5372096,2779381,23.42,37.79,32.14
TATASTEEL,1, EQ,99.55,100.65,100.05,37568783,30722156,38764542,37366.5,30883.66,38957.23,11510604,10014848,12495522,30.64,32.6,32.23
TCS,1, EQ,3111.75,3144.7,3121.85,1517005,1793722,1194289,47134.88,56377.74,37369.38,809347,1137170,640341,53.35,63.4,53.62
TECHM,1, EQ,1023.25,1019.4,1019.2,1426207,2395805,1304927,14545.23,24491.84,13348.92,655538,1328762,623758,45.96,55.46,47.8
TITAN,1, EQ,2625.0,2641.1,2644.55,1111199,771852,1001916,29148.02,20394.78,26639.64,633557,384943,549537,57.02,49.87,54.85
ULTRACEMCO,1, EQ,6271.5,6346.75,6398.4,453912,558284,919146,27969.25,35567.9,58579.68,191323,251335,326192,42.15,45.02,35.49
UPL,1, EQ,678.05,682.05,676.8,1360600,1238762,938837,9227.66,8477.95,6392.59,515232,525332,344470,37.87,42.41,36.69
WIPRO,1, EQ,375.1,379.3,378.05,8454769,11164240,5099139,31742.49,42469.77,19319.49,3275719,5532754,2222146,38.74,49.56,43.58
