Symbol,is_valid,Series,ClosePrice14102022,TotalTradedQuantity14102022,TurnoverInLacs14102022,DeliveryQuantity14102022,DeliveryPercentage14102022
ADANIPORTS,1, EQ, 780.10, 4562526, 36025.51, 650375, 14.25
APOLLOHOSP,1, EQ, 4297.15, 254366, 10930.27, 94375, 37.10
ASIANPAINT,1, EQ, 3185.50, 845765, 27163.17, 511708, 60.50
AXISBANK,1, EQ, 800.50, 8220645, 66349.42, 3810137, 46.35
BAJAJ-AUTO,1, EQ, 3570.50, 499983, 18069.55, 256918, 51.39
BAJAJFINSV,1, EQ, 1688.30, 1239168, 21010.99, 387881, 31.30
BAJFINANCE,1, EQ, 7272.50, 839012, 61029.68, 267321, 31.86
BHARTIARTL,1, EQ, 765.95, 3608210, 27861.01, 2176149, 60.31
BPCL,1, EQ, 297.85, 2577730, 7747.98, 1166818, 45.27
BRITANNIA,1, EQ, 3796.25, 350141, 13294.52, 253321, 72.35
CIPLA,1, EQ, 1108.90, 1131139, 12581.69, 576037, 50.93
COALINDIA,1, EQ, 236.35, 6241886, 14771.73, 2849161, 45.65
DIVISLAB,1, EQ, 3572.80, 320044, 11427.17, 152899, 47.77
DRREDDY,1, EQ, 4310.80, 248801, 10731.38, 131484, 52.85
EICHERMOT,1, EQ, 3477.20, 387253, 13601.33, 105257, 27.18
GRASIM,1, EQ, 1695.55, 565937, 9628.95, 238144, 42.08
HCLTECH,1, EQ, 1002.55, 7424383, 75053.12, 3257618, 43.88
HDFC,1, EQ, 2343.50, 3867131, 90480.19, 2389704, 61.80
HDFCBANK,1, EQ, 1439.00, 6424960, 92175.93, 3114030, 48.47
HDFCLIFE,1, EQ, 523.00, 2214367, 11640.83, 953159, 43.04
HEROMOTOCO,1, EQ, 2535.90, 250851, 6414.13, 97318, 38.80
HINDALCO,1, EQ, 397.15, 6115990, 24686.49, 1969100, 32.20
HINDUNILVR,1, EQ, 2575.80, 1001536, 26007.59, 561923, 56.11
ICICIBANK,1, EQ, 870.25, 8199540, 71527.31, 4561607, 55.63
INDUSINDBK,1, EQ, 1181.60, 2918993, 34765.45, 1099875, 37.68
INFY,1, EQ, 1474.25, 14990688, 221987.29, 6427583, 42.88
ITC,1, EQ, 332.10, 6424915, 21355.43, 3693743, 57.49
JSWSTEEL,1, EQ, 640.25, 1386827, 8959.99, 302684, 21.83
KOTAKBANK,1, EQ, 1834.00, 1670238, 30743.26, 630012, 37.72
LT,1, EQ, 1911.60, 1819114, 34980.38, 964522, 53.02
MARUTI,1, EQ, 8617.30, 274160, 23806.35, 104772, 38.22
NTPC,1, EQ, 165.10, 9588164, 15948.35, 6510909, 67.91
ONGC,1, EQ, 127.60, 13205955, 17076.92, 5083870, 38.50
POWERGRID,1, EQ, 212.65, 17523893, 37505.68, 12756462, 72.79
RELIANCE,1, EQ, 2370.70, 4202459, 100548.23, 2676992, 63.70
SBILIFE,1, EQ, 1179.80, 717290, 8561.03, 403316, 56.23
SBIN,1, EQ, 527.20, 8545479, 45293.75, 2924078, 34.22
SHREECEM,1, EQ, 21188.50, 63317, 13434.66, 12411, 19.60
SUNPHARMA,1, EQ, 976.30, 3307000, 32208.78, 2138516, 64.67
TATACONSUM,1, EQ, 761.25, 1278730, 9773.88, 695385, 54.38
TATAMOTORS,1, EQ, 396.25, 12875470, 51701.99, 2634822, 20.46
TATASTEEL,1, EQ, 100.10, 32456805, 32859.20, 10378352, 31.98
TCS,1, EQ, 3099.15, 2245977, 69996.11, 1086310, 48.37
TECHM,1, EQ, 1019.85, 3492929, 36170.43, 1307937, 37.45
TITAN,1, EQ, 2617.80, 1326916, 35015.28, 520718, 39.24
ULTRACEMCO,1, EQ, 6192.00, 249291, 15458.11, 138537, 55.57
UPL,1, EQ, 678.30, 2108845, 14373.60, 763209, 36.19
WIPRO,1, EQ, 377.30, 13932397, 53133.07, 4465571, 32.05
